City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,karratha,-20.7377,116.8463,22.68,38,0,1.92,AU,1718155615
314,sierra grande,-41.606,-65.3557,13.4,47,100,4.36,AR,1718155615
315,zaragoza,41.6561,-0.8773,15.57,59,0,8.23,ES,1718155471
316,ola,59.5833,151.2833,13.41,71,98,4.12,RU,1718155615
317,nusaybin,37.0778,41.2178,26.48,27,0,1.85,TR,1718155615
318,afaahiti,-17.75,-149.2833,26.93,71,91,8.67,PF,1718155391
319,eyl,7.9803,49.8164,26.66,67,100,8.71,SO,1718155615
320,weno,7.4515,151.8468,31.97,74,40,3.6,FM,1718155615
321,saint-pierre,-21.3393,55.4781,21.82,83,75,4.12,RE,1718155615
322,mugia,43.1041,-9.2179,12.73,78,99,7.78,ES,1718155615
323,kuqa,41.7278,82.9364,26.45,25,8,2.39,CN,1718155615
324,omutinskiy,56.4745,67.6709,14.49,82,100,2.61,RU,1718155615
325,tergnier,49.6561,3.3011,6.16,92,1,1.56,FR,1718155615
326,hilton head island,32.2163,-80.7526,26.66,67,0,1.34,US,1718155615
327,yanta,36.2411,115.6672,35.5,30,0,6.0,CN,1718155615
328,bijie,27.3125,105.2942,20.49,64,95,1.74,CN,1718155615
329,tokar,18.4254,37.729,31.66,25,26,3.35,SD,1718155615
330,udaipura,23.0833,78.5,32.68,39,2,4.37,IN,1718155616
331,antonio enes,-16.2325,39.9086,18.92,91,48,4.65,MZ,1718155616
332,penzance,50.1186,-5.5371,10.38,73,15,4.74,GB,1718155616
333,san lawrenz,36.0553,14.204,22.7,91,40,2.37,MT,1718155616
334,dan sadau,11.2962,6.4952,23.37,86,100,1.87,NG,1718155329
335,vilyuysk,63.7553,121.6247,19.44,37,100,2.68,RU,1718155616
336,hamilton,39.1834,-84.5333,20.47,58,0,2.06,US,1718155616
337,ikalamavony,-21.15,46.5833,15.67,89,100,2.23,MG,1718155616
338,ocean acres,39.7435,-74.281,19.82,79,100,0.84,US,1718155616
339,swakopmund,-22.6833,14.5333,13.88,89,42,1.23,NA,1718155616
340,truro,50.2653,-5.0544,12.6,82,75,5.66,GB,1718155616
341,hepo,23.4308,115.8299,29.98,76,74,1.9,CN,1718155616
342,melekeok village,7.4957,134.6367,31.31,74,75,2.57,PW,1718155616
343,nagqu,31.5,92.0,7.88,73,29,4.13,CN,1718155616
344,hays,30.0502,-98.0336,24.34,90,100,4.76,US,1718155616
345,tarawa,1.419,172.984,31.05,74,20,4.12,KI,1718155616
346,salalah,17.0151,54.0924,29.05,79,40,2.06,OM,1718155616
347,lautoka,-17.6167,177.4667,28.92,65,40,6.17,FJ,1718155329
348,coquimbo,-29.9533,-71.3436,10.85,100,100,1.54,CL,1718155324
349,ichinohe,40.2069,141.3017,26.92,46,0,1.91,JP,1718155616
350,west helena,34.5507,-90.6418,23.82,62,75,2.99,US,1718155333
351,bonthe,7.5264,-12.505,26.25,87,100,2.93,SL,1718155617
352,ambalangoda,6.2355,80.0538,28.32,84,98,6.57,LK,1718155617
353,byron bay,-28.65,153.6167,21.51,47,99,6.14,AU,1718155367
354,bennettsville,34.6174,-79.6848,26.16,77,0,1.54,US,1718155617
355,bel ombre,-4.6167,55.4167,26.91,83,40,2.57,SC,1718155617
356,barra de santo antonio,-9.4047,-35.5072,24.6,81,12,2.08,BR,1718155617
357,camden,39.7835,-74.9663,20.97,80,100,0.45,US,1718155617
